Frame,Kecepatan,Y0X_Pixel,Y239X_Pixel,Y479X_Pixel,Y0X_Meter,Y239X_Meter,Y479X_Meter,errorY_0_Xmeter,errorY_239_Xmeter,errorY_479_Xmeter,Radius,Curvature,Y0(meter),Y239(meter),Y479(meter),Steering_Angle,Angle,FPS
45,0,326,320,320,0.40750000000000003,0.4,0.4,0.0075,0.0,0.0,"(73.43821891317126, 'Left Curve')",0.013616887974670755,0.0,0.8962500000000001,1.7962500000000001,0,21,6.4
46,0,327,319,320,0.40875,0.39875,0.4,0.00875,-0.00125,0.0,"(89.73643319431034, 'Left Curve')",0.011143745794248976,0.0,0.8962500000000001,1.7962500000000001,0,21,6.0
47,0,327,319,320,0.40875,0.39875,0.4,0.00875,-0.00125,0.0,"(89.8811803191494, 'Left Curve')",0.011125799599529154,0.0,0.8962500000000001,1.7962500000000001,0,21,6.6
48,0,326,318,319,0.40750000000000003,0.3975,0.39875,0.0075,-0.0025,-0.00125,"(88.06018937134826, 'Left Curve')",0.011355869288254852,0.0,0.8962500000000001,1.7962500000000001,0,21,6.7
49,0,326,318,319,0.40750000000000003,0.3975,0.39875,0.0075,-0.0025,-0.00125,"(86.89262991321166, 'Left Curve')",0.01150845590700615,0.0,0.8962500000000001,1.7962500000000001,0,21,5.8
50,0,326,318,319,0.40750000000000003,0.3975,0.39875,0.0075,-0.0025,-0.00125,"(83.70701155674422, 'Left Curve')",0.011946430548677623,0.0,0.8962500000000001,1.7962500000000001,0,21,5.9
51,0,327,319,319,0.40875,0.39875,0.39875,0.00875,-0.00125,-0.00125,"(74.68886028255503, 'Left Curve')",0.013388877487444653,0.0,0.8962500000000001,1.7962500000000001,0,21,6.3
52,0,325,318,318,0.40625,0.3975,0.3975,0.00625,-0.0025,-0.0025,"(67.88308851422818, 'Left Curve')",0.014731209523420575,0.0,0.8962500000000001,1.7962500000000001,0,21,6.2
53,0,326,318,318,0.40750000000000003,0.3975,0.3975,0.0075,-0.0025,-0.0025,"(74.18807191694493, 'Left Curve')",0.01347925581782905,0.0,0.8962500000000001,1.7962500000000001,0,21,6.2
54,0,326,318,318,0.40750000000000003,0.3975,0.3975,0.0075,-0.0025,-0.0025,"(79.33007899504909, 'Left Curve')",0.012605559110339585,0.0,0.8962500000000001,1.7962500000000001,0,21,5.8
