Frame,Kecepatan,Y0X_Pixel,Y239X_Pixel,Y479X_Pixel,Y0X_Meter,Y239X_Meter,Y479X_Meter,errorY_0_Xmeter,errorY_239_Xmeter,errorY_479_Xmeter,Radius,Curvature,Y0(meter),Y239(meter),Y479(meter),Steering_Angle,Angle,FPS
46,0,327,319,320,0.40875,0.39875,0.4,0.00875,-0.00125,0.0,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.3
47,0,327,319,320,0.40875,0.39875,0.4,0.00875,-0.00125,0.0,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.5
48,0,326,318,319,0.40750000000000003,0.3975,0.39875,0.0075,-0.0025,-0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.0
49,0,326,318,319,0.40750000000000003,0.3975,0.39875,0.0075,-0.0025,-0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,6.7
50,0,326,318,319,0.40750000000000003,0.3975,0.39875,0.0075,-0.0025,-0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.3
51,0,327,319,319,0.40875,0.39875,0.39875,0.00875,-0.00125,-0.00125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.5
52,0,325,318,318,0.40625,0.3975,0.3975,0.00625,-0.0025,-0.0025,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.5
53,0,326,318,318,0.40750000000000003,0.3975,0.3975,0.0075,-0.0025,-0.0025,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.5
54,0,326,318,318,0.40750000000000003,0.3975,0.3975,0.0075,-0.0025,-0.0025,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.9
55,0,325,318,317,0.40625,0.3975,0.39625,0.00625,-0.0025,-0.00375,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.0
56,0,326,317,317,0.40750000000000003,0.39625,0.39625,0.0075,-0.00375,-0.00375,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.3
57,0,326,317,317,0.40750000000000003,0.39625,0.39625,0.0075,-0.00375,-0.00375,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.4
58,0,325,316,317,0.40625,0.395,0.39625,0.00625,-0.005,-0.00375,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.7
59,0,325,316,316,0.40625,0.395,0.395,0.00625,-0.005,-0.005,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.0
60,0,325,316,316,0.40625,0.395,0.395,0.00625,-0.005,-0.005,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.8
61,0,325,316,316,0.40625,0.395,0.395,0.00625,-0.005,-0.005,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.7
62,0,325,316,316,0.40625,0.395,0.395,0.00625,-0.005,-0.005,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.4
63,0,324,315,316,0.405,0.39375,0.395,0.005,-0.00625,-0.005,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.2
64,0,325,315,316,0.40625,0.39375,0.395,0.00625,-0.00625,-0.005,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.6
65,0,325,315,316,0.40625,0.39375,0.395,0.00625,-0.00625,-0.005,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.4
66,0,326,315,316,0.40750000000000003,0.39375,0.395,0.0075,-0.00625,-0.005,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.8
67,0,325,315,316,0.40625,0.39375,0.395,0.00625,-0.00625,-0.005,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,6.4
68,0,326,315,316,0.40750000000000003,0.39375,0.395,0.0075,-0.00625,-0.005,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.2
69,0,324,315,315,0.405,0.39375,0.39375,0.005,-0.00625,-0.00625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,6.4
70,0,325,314,315,0.40625,0.3925,0.39375,0.00625,-0.0075,-0.00625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,2.6
71,0,325,314,315,0.40625,0.3925,0.39375,0.00625,-0.0075,-0.00625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,7.2
72,0,324,314,315,0.405,0.3925,0.39375,0.005,-0.0075,-0.00625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,11.3
73,0,324,314,316,0.405,0.3925,0.395,0.005,-0.0075,-0.005,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,8.1
74,0,324,314,316,0.405,0.3925,0.395,0.005,-0.0075,-0.005,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,6.5
75,0,323,313,315,0.40375,0.39125,0.39375,0.00375,-0.00875,-0.00625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.6
76,0,324,313,315,0.405,0.39125,0.39375,0.005,-0.00875,-0.00625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.5
77,0,323,312,315,0.40375,0.39,0.39375,0.00375,-0.01,-0.00625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.8
78,0,321,310,314,0.40125,0.3875,0.3925,0.00125,-0.0125,-0.0075,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.3
79,0,323,310,314,0.40375,0.3875,0.3925,0.00375,-0.0125,-0.0075,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.3
80,0,321,310,314,0.40125,0.3875,0.3925,0.00125,-0.0125,-0.0075,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.0
81,0,322,311,314,0.4025,0.38875,0.3925,0.0025,-0.01125,-0.0075,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.7
82,0,322,310,314,0.4025,0.3875,0.3925,0.0025,-0.0125,-0.0075,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.4
83,0,321,310,312,0.40125,0.3875,0.39,0.00125,-0.0125,-0.01,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.7
84,0,318,309,311,0.3975,0.38625,0.38875,-0.0025,-0.01375,-0.01125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.5
85,0,318,309,310,0.3975,0.38625,0.3875,-0.0025,-0.01375,-0.0125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,6.0
86,0,318,309,310,0.3975,0.38625,0.3875,-0.0025,-0.01375,-0.0125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.2
87,0,317,308,310,0.39625,0.385,0.3875,-0.00375,-0.015,-0.0125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.3
88,0,317,309,310,0.39625,0.38625,0.3875,-0.00375,-0.01375,-0.0125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.8
89,0,317,308,309,0.39625,0.385,0.38625,-0.00375,-0.015,-0.01375,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.7
90,0,316,308,308,0.395,0.385,0.385,-0.005,-0.015,-0.015,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.2
91,0,316,307,308,0.395,0.38375000000000004,0.385,-0.005,-0.01625,-0.015,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.9
92,0,316,306,308,0.395,0.3825,0.385,-0.005,-0.0175,-0.015,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,7.2
93,0,317,306,309,0.39625,0.3825,0.38625,-0.00375,-0.0175,-0.01375,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.1
94,0,317,307,308,0.39625,0.38375000000000004,0.385,-0.00375,-0.01625,-0.015,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.0
95,0,317,307,309,0.39625,0.38375000000000004,0.38625,-0.00375,-0.01625,-0.01375,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,5.5
96,0,315,306,308,0.39375,0.3825,0.385,-0.00625,-0.0175,-0.015,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.7
97,0,314,305,307,0.3925,0.38125000000000003,0.38375000000000004,-0.0075,-0.01875,-0.01625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.6
98,0,314,305,307,0.3925,0.38125000000000003,0.38375000000000004,-0.0075,-0.01875,-0.01625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.0
99,0,313,304,306,0.39125,0.38,0.3825,-0.00875,-0.02,-0.0175,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.1
100,0,312,304,304,0.39,0.38,0.38,-0.01,-0.02,-0.02,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.9
101,0,312,303,305,0.39,0.37875000000000003,0.38125000000000003,-0.01,-0.02125,-0.01875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.5
102,0,313,303,305,0.39125,0.37875000000000003,0.38125000000000003,-0.00875,-0.02125,-0.01875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.0
103,0,313,303,305,0.39125,0.37875000000000003,0.38125000000000003,-0.00875,-0.02125,-0.01875,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,1.3
104,0,311,303,304,0.38875,0.37875000000000003,0.38,-0.01125,-0.02125,-0.02,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.7
105,0,311,302,304,0.38875,0.3775,0.38,-0.01125,-0.0225,-0.02,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.3
106,0,311,301,303,0.38875,0.37625000000000003,0.37875000000000003,-0.01125,-0.02375,-0.02125,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.7
107,0,310,301,302,0.3875,0.37625000000000003,0.3775,-0.0125,-0.02375,-0.0225,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,3.5
108,0,311,301,302,0.38875,0.37625000000000003,0.3775,-0.01125,-0.02375,-0.0225,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.4
109,0,311,301,301,0.38875,0.37625000000000003,0.37625000000000003,-0.01125,-0.02375,-0.02375,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.1
110,0,310,300,299,0.3875,0.375,0.37375,-0.0125,-0.025,-0.02625,0.0,0.00,0.0,0.8962500000000001,1.7962500000000001,0,21,4.3
